essence;essence_volume
AUT;BOJ
BOG;BOG
BOJ;BOJ
BOP;BOP
CAC;ORA
CAF;ORA
CAR;ORA
CEO;ORA
CET;CET
CHB;CHR
CHE;CHR
CHG;CHR
CHR;CHR
CHX;CHR
EPB;EPB
EPN;EPN
EPO;EPB
EPR;EPR
EPX;EPB
ERA;ERS
ERG;ERS
ERN;ERS
ERP;ERS
ERR;ERR
ERS;ERS
F_0;ORA
F_1;PET
F0R;BOJ
FEU;BOJ
FRA;FRA
FRN;FRN
FRP;FRN
HEG;HEG
JUV;THO
MEU;MEL
MEJ;MEL
MEL;MEL
MEO;MEL
NOC;ORA
ORA;ORA
ORR;ORA
ORT;ORA
OSV;OSV
PEB;PEB
PED;PEG
PEG;PEG
PEH;PEG
PET;PET
PEU;PET
PIB;PIB
PIR;PIR
PID;PIR
PIG;PIG
PIN;PIB
PIS;PIG
PRU;PRU
RES;PRU
SAB;SAB
THO;THO
TIL;TIL
